instrument_idx,threshold,f_measure
4.0,0.08,1.0
4.0,0.09,1.0
4.0,0.09999999999999999,1.0
4.0,0.11,1.0
4.0,0.12,1.0
4.0,0.13,1.0
4.0,0.14,1.0
4.0,0.15000000000000002,1.0
4.0,0.16,1.0
4.0,0.17,1.0
4.0,0.18000000000000002,1.0
4.0,0.19,1.0
1.0,0.2,0.8571428571428571
4.0,0.2,1.0
1.0,0.21000000000000002,0.8571428571428571
4.0,0.21000000000000002,1.0
1.0,0.22,0.8571428571428571
4.0,0.22,1.0
1.0,0.23,0.8571428571428571
1.0,0.24000000000000002,0.8571428571428571
1.0,0.25,0.8571428571428571
5.0,0.25,0.8888888888888888
1.0,0.26,0.8571428571428571
5.0,0.26,0.8888888888888888
1.0,0.27,0.8571428571428571
5.0,0.27,0.8888888888888888
1.0,0.28,0.8571428571428571
1.0,0.29000000000000004,0.8571428571428571
