instrument_idx,threshold,f_measure
3.0,0.01,0.15469613259668508
7.0,0.01,0.020618556701030927
2.0,0.06999999999999999,0.25
2.0,0.08,0.25
5.0,0.09999999999999999,0.3766233766233766
6.0,0.21000000000000002,0.2857142857142857
6.0,0.22,0.2857142857142857
6.0,0.23,0.2857142857142857
6.0,0.24000000000000002,0.2857142857142857
6.0,0.25,0.2857142857142857
6.0,0.26,0.2857142857142857
6.0,0.27,0.2857142857142857
6.0,0.28,0.2857142857142857
1.0,0.29000000000000004,0.463768115942029
6.0,0.29000000000000004,0.2857142857142857
